source,target
Enoch Brown,Job Prince
Abiel Ruddock,John Bradford
Paul Revere,Samuel Emmes
David Bradlee,Edward Proctor
Elisha Callendar,Seth Chipman
Joseph Eayres,Stephen Bruce
James Foster Condy,John Lowell
Josiah Flagg,Peter Doyle
Israel Obear,James Seward
Nathaniel Frothingham,Robert Sessions
John Boit,Thomas Tileston
Thomas Marshall,William Davis
Elias Parkman,Joseph Greenleaf
Anthony Morse,Thomas Williams
James Swan,Jonathan Hunnewell
David Bradlee,Nathaniel Willis
John Pulling,William Greenleaf
Joshua Wyeth,Lendall Pitts
Bos Foster,Thomas Marshall
Benjamin Burton,Edward Proctor
Gershom Collier,Robert Davis
John Marlton,William Gould
Capt Cazneau,Samuel Emmes
John Peters,John Russell
Benjamin Austin,Henry Bass
Thomas Bradlee,Thomas Moore
Edward Proctor,Thomas Urann
Isaac Pearce Jr,John Adams
Elisha Callendar,James Seward
William Burbeck,William Gould
John Prince,Thomas Bolter
Joseph Warren,William Mackay
George Bray,John Whitten
Joseph Warren,Thomas Crafts
Edward Proctor,Nathaniel Bradlee
David Kinnison,James Bewer
Gilbert Colesworthy,John Randall
Newn Greenough,Samuel Barrett
Edward Proctor,Fortesque Vernon
Enoch Brown,James Foster Condy
Benjamin Edes,Paul Revere
Gilbert Colesworthy,Thomas Hunstable
Archibald MacNeil,Jonathan Hunnewell
Richard Hunnewell,Samuel Foster
John May,Joshua Wyeth
Gilbert Colesworthy,William Molineux
Joseph Warren,Nathaniel Appleton
Moses Gill,Thomas Chase
George Hewes,Joseph Eayres
Benjamin Clarke,Joseph Shed
Samuel Howard,Thomas Williams
Eben Johnston,Nathaniel Barber
James Swan,Samuel White
John Pulling,William Dennie
Joshua Wyeth,Eckley
Thomas Peck,William Breck
Benjamin Church,William Whitwell
Thomas Roylson,William Davis
Perez Morton,Richard Palms
Samuel Emmes,William Hickling
Edward Burbeck,Phillip Lewis
Bos Foster,Eben Johnston
Daniel Ingersoll,Eliphelet Newell
Ebenezer Stevens,John Cochran
Joseph Greenleaf,Thomas Marshall
Benjamin Burton,Joshua Wyeth
Joseph Mountford,William Etheridge
Israel Obear,Wait Gray
Herman Brimmer,Joseph Warren
Newn Greenough,Thomas Roylson
Asa Stoddard,Samuel Emmes
Henry Purkitt,Jonathan Parker
Gilbert Ash,Wait Gray
Bos Foster,Samuel Pitts
John Pulling,Pierce Isaac
Charles Jarvis,Jos Brackett
Job Prince,John Bradford
Adam Collson,John Russell
Paul Revere,William Whitwell
Matthew Loring,Nathaniel Greene
James Swan,Thomas Urann
Henry Purkitt,Samuel Cooper
Samuel White,William Breck
John Merrit,Perez Morton
Samuel Barrett,William Davis
Samuel Fenno,Thomas Spear
Adam Collson,Richard Hunnewell
Benjamin Austin,Caleb Davis
Matthew Loring,Robert Davis
John Gammell,Thomas Porter
Jonathan Hunnewell,Moses Grant
Capt MacKintosh,John Hooton
Edward Howe,Thomas Bolter
Caleb Davis,John Winthrop
Adam Collson,Thomas Machin
Nathaniel Hitchborn,William Gould
Sam Partridge,Thomas Marshall
Charles Jarvis,Eben Hancock
Cyrus Baldwin,John Winthrop
Ezekiel Cheever,John Brown
Elias Parkman,William Hickling
Cyrus Baldwin,Moses Gill
Edward Davis,Nathaniel Barber
John Crane,Nathaniel Willis
Joseph Warren,William Palfrey
John Prince,John Spurr
Edward Proctor,John Hancock
Benjamin Church,Cyrus Baldwin
Caleb Hopkins,Henry Broomfield
Thomas Roylson,William Powell
John Russell,Samuel Peck
Joseph Eaton,Nathaniel Barber
Abiel Ruddock,Samuel Austin
Nicholas Campbell,Thomas Porter
Moses Grant,Stephen Bruce
Ambrose Ferrell,Henry Stanbridge
Robert Sessions,Samuel Hammond
Ebenezer Stevens,Lendall Pitts
Cyrus Baldwin,Elias Parkman
Joseph Palmer,Nathaniel Bradlee
Caleb Davis,Nathaniel Appleton
Benjamin Edes,Thomas Kimball
Ezra Collins,John Whitten
Charles Jarvis,Thomas Marshall
Ambrose Sloper,Wait Gray
Joshua Wyeth,Thomas Melville
Edward Proctor,Joseph Mountford
Edward Burbeck,Samuel Barrett
Edward Burbeck,James Graham
Samuel Barnard,William Molineux
Benjamin Church,John Winthrop
Moses Gill,Nat Noyces
Enoch Brown,William Greenleaf
Jonathan Hunnewell,Samuel Gore
Nathaniel Greene,Thomas Chase
Thomas Chase,Thomas Chrysty
Benjamin Kent,Richard Palms
Joseph Shed,Nathaniel Frothingham
James Foster Condy,John Hancock
Archibald MacNeil,Capt MacKintosh
Increase Blake,Samuel Moody
Robert Pierpont,Samuel Adams
Richard Boynton,Samuel Adams
Gibbens Sharp,John Matchett
John Winthrop,Samuel White
Gershom Collier,Stephen Bruce
Henry Prentiss,Phineas Stearns
William Dennie,William Hoskins
Perez Morton,Thomas Hitchborn
Isaac Pearce,William Hickling
Dr Allen,Isaac Pearce
Hugh Brown,Nathaniel Hitchborn
Bos Foster,Joseph Eayres
Abiel Ruddock,William Molineux
Benjamin Burton,William Russell
Joseph Eayres,Samuel Austin
James Starr,John Russell
John Symmes,Nathaniel Holmes
Edward Burbeck,Ezra Collins
Benjamin Church,John Ballard
Phineas Stearns,Samuel Sprague
Capt MacKintosh,John Cochran
John Hicks,John Hooton
Eben Symmes,William Hoskins
Charles Jarvis,Edward Davis
Lendall Pitts,William Russell
Samuel Peck,Seth Chipman
Caleb Davis,Ezekiel Cheever
John Russell,Nathaniel Willis
Thomas Webster,William Wingfield
Samuel Barrett,Thomas Roylson
Edward Proctor,Josiah Wheeler
Samuel Gore,Samuel Sprague
Henry Stanbridge,John Whitten
Nicholas Campbell,Samuel Gore
Archibald MacNeil,James Starr
William Phillips,William Whitwell
Nathaniel Greene,Thomas Spear
Benjamin Simpson,Jeremiah Williams
Jeremiah Williams,Robert Davis
John Symmes,Thomas Kimball
Benjamin Simpson,John Randall
Gilbert Colesworthy,Thomas Melville
Henry Bass,William Hoskins
Thomas Bolter,William Etheridge
John Merrit,Nathaniel Holmes
John Crane,William Etheridge
Samuel Foster,Thomas Machin
Amos Lincoln,Matthew Loring
Jeremiah Williams,Thomas Machin
Henry Bass,Peter Boyer
James Bewer,James Swan
Samuel Fenno,William Hendley
Alexander Hill,Nathaniel Barber
Joseph Eaton,William Hendley
Isaac Pearce Jr,William Hickling
Eliphelet Newell,Nicholas Campbell
Benjamin Burt,William Dennie
John Winthrop,Thomas Marshall
Henry Bass,Samuel Adams
John Hooton,Josiah Wheeler
Adam Collson,Eliphelet Newell
Samuel Hammond,William Russell
James Ivers,Thomas Roylson
Jonathan Mason,Thomas Roylson
Elisha Callendar,Increase Blake
Samuel Foster,Thomas Melville
Edward Howe,William Molineux
James Bewer,Nathaniel Greene
Moses Deshon,Paul Revere
Anthony Morse,Thomas Chase
Caleb Hopkins,Samuel Pitts
Joseph Shed,Samuel Sprague
Edward Burbeck,Jefferds
Peter Slater,Thomas Hunstable
Josiah Wheeler,Thomas Spear
Eliphelet Newell,James Starr
David Kinnison,Joseph Lee
Benjamin Kent,John Symmes
Thomas Porter,Thomas Spear
Edward Burbeck,Thomas Urann
Joseph Lee,William Pierce
John Jenkins,Nicholls
Joseph Greenleaf,Perez Morton
Edward Howe,John Crane
Archibald MacNeil,Samuel Fenno
Abiel Ruddock,Benjamin Kent
James Swan,Joseph Payson
Joseph Greenleaf,William Davis
Thomas Kimball,William Breck
John Hicks,Phineas Stearns
Nathaniel Holmes,Paul Revere
Daniel Ingersoll,Edward Howe
John Pulling,Perez Morton
Elisha Story,Thomas Spear
Benjamin Clarke,Elisha Story
Elias Parkman,Ezekiel Cheever
Ebenezer Stevens,Joseph Eaton
Dr Allen,John Lowell
John Brown,John Pulling
Thomas Chase,William Davis
Paul Revere,Pierce Isaac
Joseph Eayres,Moses Gill
John Pitts,William Powell
Archibald MacNeil,John Randall
Isaac Pearce,John Boit
Samuel Peck,Thomas Bradlee
John Hooton,John May
Samuel Hammond,Thomas Hunstable
John Hancock,Joseph Warren
James Bewer,Stephen Bruce
Capt MacKintosh,William Russell
Ezra Collins,William Gould
John May,John Randall
John Cochran,William Hendley
John Hooton,Joshua Wyeth
Edward Proctor,Thomas Melville
John Hooton,Thomas Urann
John Sweetser,Nathaniel Appleton
John May,Robert Sessions
Newn Greenough,Thomas Chase
Benjamin Clarke,James Foster Condy
John Randall,Joseph Mountford
Benjamin Burton,Joseph Eayres
John Spurr,Joseph Eaton
Caleb Davis,James Otis
Nicholas Campbell,Stephen Bruce
John Randall,Robert Davis
Newn Greenough,Samuel Adams
Jonathan Parker,Joseph Lee
James Graham,Josiah Flagg
James Ivers,William Powell
Dr Allen,William Hoskins
Joseph Warren,Phillip Lewis
Samuel Whitwell,William Whitwell
Paul Revere,Thomas Chrysty
Joseph Eaton,Eckley
Joseph Webb,William Palfrey
Peter Doyle,Thomas Crafts
Samuel Austin,Samuel Whitwell
John Spurr,Josiah Bradlee
John Hancock,William Whitwell
John Spurr,Thomas Bradlee
Dr Allen,Thomas Tileston
Benjamin Church,Enoch Brown
Thomas Milliken,William Burbeck
John Peters,Joseph Roby
Cyrus Baldwin,Joseph Greenleaf
Eben Johnston,Edward Davis
Benjamin Church,James Ivers
John Hicks,Joseph Payson
Robert Sessions,Samuel Cooper
Jeremiah Williams,Thomas Chase
Martin Brimmer,Thomas Chase
Benjamin Burton,Samuel Cooper
Robert Sessions,Thomas Hunstable
John May,Joseph Palmer
Joseph Eaton,Thomas Spear
James Foster Condy,Thomas Roylson
Alexander Inglish,Thomas Urann
Gershom Collier,Moses Grant
Capt MacKintosh,Samuel Cooper
John Pitts,Jonathan Mason
Paul Revere,Phineas Stearns
Increase Blake,Richard Pulling
Abraham Hunt,John Cochran
Henry Broomfield,John Pulling
Nathaniel Hitchborn,Samuel Peck
Nathaniel Barber,Peter Slater
Stephen Bruce,William Pierce
Joseph Shed,Peter Slater
Perez Morton,Thomas Urann
Cyrus Baldwin,Martin Brimmer
Jos Brackett,William Whitwell
John Lowell,Samuel White
Benjamin Austin,Moses Grant
John Russell,Thomas Williams
Edward Jarvis,William Gould
Ebenezer Stevens,William Molineux
Benjamin Burton,Joseph Shed
Joshua Wyeth,Thomas Spear
Hugh Brown,Seth Chipman
John Gammell,Thomas Chase
John Russell,Thomas Moore
Jeremiah Williams,Samuel Cooper
Cyrus Baldwin,James Ivers
Samuel Adams,William Phillips
Fortesque Vernon,Pierce Isaac
John Prince,Thomas Young
Benjamin Austin,Joseph Eayres
Gershom Collier,Phineas Stearns
Edward Davis,Paul Revere
Nat Noyces,Newn Greenough
Elias Parkman,Samuel Adams
Joseph Warren,Joseph Webb
Edward Dolbear,William Etheridge
John Marlton,Nathaniel Hitchborn
Samuel Barnard,Samuel Peck
David Bradlee,John Peters
John Cochran,Matthew Loring
John Avery,Paul Revere
John Pulling,William Phillips
Jeremiah Williams,Thomas Bradlee
Henry Bass,Thomas Williams
Henry Stanbridge,James Seward
Eben Symmes,John Ballard
John Marson,Samuel Adams
Benjamin Burton,Capt MacKintosh
Nathaniel Bradlee,Samuel Gore
Richard Hunnewell,Thomas Bolter
Fortesque Vernon,Samuel Adams
Adam Collson,Joseph Shed
Eben Symmes,Gabriel Johonnott
Edward Potter,Henry Welles
Edward Dolbear,Eckley
David Bradlee,David Kinnison
Ezekiel Cheever,Thomas Tileston
John Hicks,Robert Davis
Gabriel Johonnott,William Dennie
Joseph Greenleaf,Robert Pierpont
Herman Brimmer,Jonathan Mason
Elisha Story,Joseph Eaton
Archibald MacNeil,Thomas Spear
Eliphelet Newell,Joseph Payson
Benjamin Clarke,Samuel Barnard
Elisha Callendar,Thomas Milliken
Benjamin Church,Thomas Chrysty
Gabriel Johonnott,Thomas Tileston
Ebenezer Stevens,Thomas Moore
Samuel Barrett,William Powell
Ezekiel Cheever,Gibbens Sharp
Phillip Marett,Walter Kerr
Eliphelet Newell,Nathaniel Barber
Josiah Flagg,Thomas Urann
Thomas Machin,Thomas Moore
Josiah Quincy,William Dennie
George Hewes,Joseph Shed
John Russell,Nathaniel Bradlee
Benjamin Edes,Isaac Pearce Jr
Isaac Pearce,Thomas Young
David Bradlee,Thomas Bolter
Nathaniel Holmes,Thomas Peck
Henry Prentiss,John Spurr
John Prince,Stephen Bruce
Benjamin Clarke,John Russell
Joseph Shed,Josiah Bradlee
Elisha Callendar,Samuel Moody
Nicholas Campbell,Samuel Sprague
John Phillips,Thomas Crafts
Eben Hancock,Nathaniel Barber
Nathaniel Willis,Samuel Gore
George Bray,Nathaniel Hitchborn
John May,William Molineux
Edward Dolbear,Henry Purkitt
John Hicks,Thomas Urann
Daniel Ingersoll,Thomas Bolter
Henry Bass,Samuel Whitwell
Benjamin Edes,Thomas Hitchborn
John Gammell,Thomas Spear
John Marson,Jonathan Williams
Fortesque Vernon,John Marson
Adam Collson,Capt MacKintosh
Benjamin Burton,Joseph Eaton
Samuel Gore,William Etheridge
John Randall,Richard Hunnewell
John Spurr,William Russell
Eliphelet Newell,James Foster Condy
Daniel Ingersoll,Samuel Barnard
David Bradlee,Thomas Melville
Samuel Adams,Samuel White
Gershom Collier,Peter Slater
John Boit,William Hoskins
Benjamin Austin,Richard Boynton
Thomas Chase,Thomas Spear
Asa Stoddard,Thomas Hitchborn
Eben Johnston,William Powell
Isaac Pearce Jr,John Lowell
Edward Dolbear,John Cochran
John Jenkins,John Whitten
Samuel Austin,Thomas Chase
Capt MacKintosh,Thomas Williams
Josiah Wheeler,Robert Sessions
Henry Stanbridge,James Graham
Matthew Loring,Samuel Hobbs
John Bradford,Josiah Quincy
William McAlpine,William Wingfield
John Avery,William Powell
John Pitts,Paul Revere
Henry Broomfield,Nat Noyces
James Ivers,Nathaniel Barber
George Hewes,Phineas Stearns
John Russell,Joseph Palmer
Ambrose Ferrell,Phillip Lewis
John Hicks,Thomas Machin
Anthony Morse,Peter Slater
James Foster Condy,Samuel Gore
Benjamin Burt,Nathaniel Holmes
Jefferds,William Bell
Benjamin Burton,Nathaniel Barber
Edward Jarvis,Nathaniel Hitchborn
Asa Stoddard,John Lowell
John Prince,William Hendley
John May,Joseph Lee
Henry Welles,James Seward
John Prince,Nicholas Campbell
John Spurr,Robert Sessions
Edward Proctor,Eckley
John Randall,William Russell
Alexander Inglish,Joseph Warren
John Marson,Martin Brimmer
Benjamin Burton,Joseph Payson
Abiel Ruddock,Newn Greenough
Edward Proctor,William Whitwell
Henry Welles,Peter Doyle
Pierce Isaac,Samuel Austin
Benjamin Edes,John Avery
Gilbert Colesworthy,Samuel Gore
James Seward,Richard Pulling
Archibald MacNeil,Thomas Melville
James Bewer,Thomas Bolter
Samuel Adams,Samuel Cooper
Edward Howe,James Bewer
Benjamin Clarke,Thomas Bradlee
George Trott,John Avery
Benjamin Burton,Henry Bass
Edward Dolbear,William Hendley
Eben Symmes,Nathaniel Barber
John Cochran,William Etheridge
Josiah Bradlee,William Hendley
John Brown,Jonathan Mason
John Spurr,Samuel Hammond
John Jenkins,Paul Revere
Henry Bass,John Avery
Capt Cazneau,Gibbens Sharp
Benjamin Simpson,Ebenezer Stevens
David Bradlee,Henry Bass
Samuel Barnard,Eckley
Adam Collson,Benjamin Burton
James Bewer,William Russell
Ezra Collins,William Ham
Thomas Chase,William Etheridge
Adam Collson,Perez Morton
Benjamin Kent,Dr Allen
John Winthrop,Thomas Chrysty
Cyrus Baldwin,Samuel Austin
Jonathan Williams,Paul Revere
Charles Jarvis,Peter Boyer
John Lambert,Samuel Phillips
Edward Proctor,John Avery
John Brown,Peter Boyer
Isaac Pearce Jr,Samuel Emmes
Joseph Greenleaf,Thomas Hitchborn
Moses Grant,William Dennie
Nathaniel Frothingham,Samuel Cooper
Elisha Story,Jonathan Stoddard
Richard Hunnewell,Samuel Howard
Abiel Ruddock,Asa Stoddard
Joseph Mountford,Thomas Machin
John Boit,Thomas Urann
Henry Welles,Richard Pulling
Jefferds,William Gould
Samuel Cooper,Stephen Bruce
Phineas Stearns,William Molineux
John Crane,John May
Josiah Quincy,Samuel Adams
Nathaniel Willis,Peter Slater
Thomas Milliken,William Ham
Joshua Wyeth,William Molineux
John Symmes,William Hickling
Moses Gill,William Greenleaf
John Randall,Thomas Williams
Gilbert Colesworthy,Samuel Hobbs
Gabriel Johonnott,Joseph Warren
Thomas Peck,William Hoskins
Joseph Greenleaf,William Breck
John Pulling,Thomas Kimball
Bos Foster,John Pitts
Dr Allen,Thomas Young
John Hoffins,Wait Gray
Benjamin Burton,Joseph Roby
Abiel Ruddock,Benjamin Burt
Edward Proctor,Richard Hunnewell
Paul Revere,Samuel Adams
John Bradford,Oliver Wendell
Joseph Warren,Thomas Fleet
Joseph Eaton,Thomas Hunstable
Paul Revere,William Hickling
Eliphelet Newell,Thomas Young
James Seward,Joseph Webb
Josiah Wheeler,Stephen Bruce
Benjamin Kent,Samuel Adams
James Ivers,Newn Greenough
Edward Cailleteau,Walter Kerr
John May,Paul Revere
Josiah Wheeler,Thomas Urann
Henry Purkitt,Lendall Pitts
Jonathan Parker,Eckley
Jonathan Hunnewell,Joshua Wyeth
Phillip Lewis,Richard Pulling
John Peters,William Pierce
Edward Proctor,John Ballard
Enoch Brown,John Marson
Samuel Adams,Thomas Dawes
Josiah Flagg,Jefferds
Eben Hancock,Richard Boynton
Henry Bass,Nathaniel Holmes
Dr Allen,John Sigourney
Samuel Cooper,Thomas Williams
Ebenezer Stevens,Edward Howe
William McAlpine,William Palfrey
Nat Noyces,Peter Boyer
Stephen Bruce,Thomas Melville
Caleb Champney,Nathaniel Appleton
James Foster Condy,Robert Sessions
John Russell,Phineas Stearns
Ambrose Sloper,Phillip Marett
Peter Boyer,William Whitwell
James Foster Condy,Moses Gill
Eliphelet Newell,Gilbert Colesworthy
Capt MacKintosh,Moses Grant
Daniel Ingersoll,Joseph Eayres
John Whitten,Joseph Warren
Charles Jarvis,John Hancock
Thomas Melville,William Etheridge
Joseph Webb,William Gould
John Cochran,Samuel Gore
Moses Deshon,Thomas Milliken
Henry Prentiss,John Gammell
Edward Burbeck,Elisha Callendar
Nicholls,William Bell
Gabriel Johonnott,John Boit
John Pitts,William Davis
Jonathan Hunnewell,Nicholas Campbell
Benjamin Waldo,Moses Gill
John Cochran,Robert Sessions
Cyrus Baldwin,Eben Johnston
Benjamin Church,William Cooper
Nathaniel Holmes,Samuel White
Henry Bass,Thomas Kimball
Isaac Pearce,Thomas Hitchborn
Joseph Lee,Paul Revere
Bos Foster,Jos Brackett
Edward Proctor,John Symmes
Thomas Crafts,William Palfrey
James Foster Condy,Moses Grant
Benjamin Clarke,George Hewes
Henry Welles,William Palfrey
John Symmes,Paul Revere
John Hooton,Samuel Fenno
Samuel Sprague,Thomas Spear
Jeremiah Williams,Peter Slater
Elias Parkman,Henry Broomfield
John Gammell,Samuel Cooper
Increase Blake,John Jenkins
Moses Grant,Peter Slater
James Ivers,William Greenleaf
Abiel Ruddock,John Marson
Peter Boyer,Samuel Austin
Henry Bass,Joseph Palmer
Joshua Wyeth,Thomas Moore
David Kinnison,Samuel Cooper
Edward Jarvis,Walter Kerr
John Merrit,William Breck
Benjamin Kent,Paul Revere
Amos Lincoln,Benjamin Simpson
Benjamin Edes,Ezekiel Cheever
Nathaniel Barber,Thomas Hitchborn
Samuel Peck,Thomas Milliken
Joseph Palmer,Paul Revere
Dr Allen,Mr Chadwell
Benjamin Austin,Jonathan Mason
Nat Noyces,Sam Partridge
John Pulling,John Sigourney
Benjamin Simpson,Nathaniel Bradlee
Henry Broomfield,Herman Brimmer
Gilbert Colesworthy,Joseph Roby
Joseph Roby,Samuel Hobbs
Gershom Collier,Joseph Payson
Gilbert Colesworthy,Thomas Porter
William Powell,William Whitwell
Edward Dolbear,Samuel Hobbs
Henry Prentiss,Samuel Cooper
John Hicks,Samuel Hammond
Eben Hancock,John Hancock
James Foster Condy,William Powell
John Adams,William Hoskins
Capt Cazneau,Elisha Story
Thomas Crafts,Thomas Milliken
Gilbert Ash,Josiah Flagg
Eben Johnston,James Ivers
Gilbert Ash,Israel Obear
Moses Grant,Richard Hunnewell
John Hooton,Thomas Melville
James Swan,William Etheridge
Thomas Kimball,Thomas Peck
Joseph Greenleaf,Samuel Pitts
John May,Matthew Loring
Joseph Roby,William Russell
Herman Brimmer,Peter Boyer
James Otis,William Molineux
Jonathan Parker,Thomas Bolter
Edward Cailleteau,William Palfrey
Benjamin Clarke,Josiah Wheeler
Thomas Williams,William Hendley
Joseph Lee,Samuel Gore
John Crane,John Russell
Caleb Davis,Samuel Austin
John Peters,Jonathan Hunnewell
John Ballard,William Molineux
John Cochran,John May
Cyrus Baldwin,Jonathan Mason
Thomas Urann,Nicholls
John Ballard,Samuel Adams
John Whitten,Walter Kerr
Elias Parkman,John Brown
Robert Davis,Samuel Cooper
Edward Jarvis,Thomas Urann
John Whitten,Nathaniel Hitchborn
John Pulling,Thomas Hitchborn
Edward Davis,Henry Bass
Adam Collson,Joseph Eayres
Abiel Ruddock,Capt Cazneau
Capt MacKintosh,Jeremiah Williams
Richard Boynton,William Mackay
Seth Chipman,William Palfrey
Joseph Greenleaf,Joseph Warren
Increase Blake,James Seward
Thomas Tileston,Thomas Young
Charles Jarvis,Jonathan Mason
William Etheridge,William Molineux
John Avery,John Pitts
Adam Collson,Thomas Porter
Edward Potter,William Burbeck
Benjamin Burton,Jeremiah Williams
Benjamin Simpson,Thomas Spear
Ezekiel Cheever,William Hickling
Benjamin Simpson,Thomas Williams
John Whitten,Samuel Peck
Benjamin Burt,John Adams
Adam Collson,Amos Lincoln
Joseph Eayres,Samuel Howard
James Bewer,Peter Slater
John May,Thomas Moore
Isaac Pearce,Paul Revere
Nathaniel Appleton,Nathaniel Barber
Edward Dolbear,Henry Bass
Jonathan Stoddard,Richard Palms
John Crane,John Spurr
James Starr,Nathaniel Greene
Edward Proctor,John Brown
Hugh Brown,Moses Deshon
Joseph Palmer,Peter Slater
Samuel Sprague,Thomas Porter
Henry Welles,Jefferds
Jonathan Mason,Newn Greenough
Elisha Story,Samuel Sprague
John Bradford,Pierce Isaac
John Cochran,Thomas Moore
Caleb Davis,William Mackay
John Boit,Jonathan Stoddard
Benjamin Clarke,Thomas Bolter
Ezra Collins,Richard Pulling
Jonathan Williams,Joseph Warren
Josiah Bradlee,Nathaniel Barber
John Jenkins,Moses Deshon
John Prince,Samuel Fenno
Edward Potter,Joseph Warren
Edward Jarvis,William Palfrey
Jefferds,William Palfrey
William Bell,William McAlpine
James Graham,Nathaniel Hitchborn
Nathaniel Frothingham,Peter Slater
Gibbens Sharp,John Pulling
Jeremiah Williams,Robert Sessions
David Kinnison,William Etheridge
Abiel Ruddock,Caleb Hopkins
John Prince,Jonathan Hunnewell
Henry Prentiss,William Molineux
Edward Proctor,John Lowell
John Randall,Josiah Bradlee
Benjamin Burt,William Molineux
John Hancock,William Phillips
Joseph Greenleaf,Samuel Austin
David Bradlee,Thomas Spear
Seth Chipman,Thomas Milliken
Ezekiel Cheever,William Whitwell
Cyrus Baldwin,John Hancock
Joseph Greenleaf,William Powell
Richard Palms,Thomas Young
Oliver Wendell,Sam Partridge
Ambrose Ferrell,Richard Pulling
Paul Revere,Thomas Urann
John Cochran,Joseph Payson
Benjamin Church,Isaac Pearce Jr
Elias Parkman,Fortesque Vernon
Henry Purkitt,James Starr
Jos Brackett,William Powell
Joseph Shed,Moses Grant
Moses Grant,Samuel Sprague
Joseph Palmer,Thomas Bolter
Benjamin Burt,Thomas Peck
John Peters,John Spurr
John Hooton,Thomas Bolter
John Russell,Joshua Wyeth
Samuel Barnard,Thomas Urann
Benjamin Burt,Capt Cazneau
Elisha Callendar,Peter Doyle
Nathaniel Frothingham,Samuel Gore
Benjamin Church,Samuel Barrett
Thomas Bolter,Thomas Chase
Capt MacKintosh,Nathaniel Frothingham
Abiel Ruddock,Thomas Chase
Gilbert Colesworthy,Samuel Peck
Eliphelet Newell,John Randall
Thomas Machin,William Russell
William Hickling,William Hoskins
John Phillips,William Wingfield
Isaac Pearce,John Pulling
John Pitts,Oliver Wendell
Edward Davis,Fortesque Vernon
James Bewer,Jeremiah Williams
Edward Proctor,Thomas Roylson
Gabriel Johonnott,Nathaniel Barber
John Ballard,Thomas Hitchborn
George Hewes,Thomas Bolter
Elisha Story,Samuel Cooper
Edward Jarvis,Jefferds
Samuel Moody,William Palfrey
Thomas Bolter,William Molineux
Samuel Foster,Samuel Peck
John Hicks,Samuel Peck
Joseph Warren,Thomas Kimball
Joseph Roby,Matthew Loring
Henry Prentiss,Thomas Young
Ebenezer Stevens,Matthew Loring
Caleb Hopkins,William Greenleaf
Jonathan Williams,Thomas Chase
James Starr,Robert Davis
Cyrus Baldwin,William Whitwell
Joseph Warren,Moses Deshon
John Hooton,Peter Slater
Josiah Flagg,Thomas Crafts
Alexander Inglish,Hugh Brown
Henry Bass,John Marson
Abiel Ruddock,Samuel White
Paul Revere,Samuel Austin
Peter Doyle,William Bell
Edward Dolbear,Jonathan Hunnewell
John Russell,Joseph Lee
Eliphelet Newell,John Gammell
Samuel Cooper,Samuel Phillips
Amos Lincoln,Josiah Wheeler
Gershom Collier,Joseph Eaton
Josiah Bradlee,Thomas Urann
Moses Grant,Thomas Bradlee
Benjamin Burton,Joseph Palmer
Nicholas Campbell,Thomas Bolter
Benjamin Church,Thomas Young
Elisha Story,James Bewer
Joseph Palmer,William Pierce
John Gammell,John Prince
Fortesque Vernon,Richard Boynton
Archibald MacNeil,Edward Proctor
John Winslow,Samuel Dexter
Joseph Greenleaf,Mr Chadwell
Samuel Cooper,Thomas Young
Moses Grant,Samuel Barrett
David Bradlee,Samuel Fenno
Pierce Isaac,Samuel Whitwell
Edward Proctor,Thomas Peck
Edward Dolbear,William Pierce
John Winthrop,Richard Palms
Anthony Morse,William Russell
Gibbens Sharp,John Symmes
John Boit,Thomas Young
Thomas Porter,William Etheridge
Henry Bass,Samuel Fenno
Robert Davis,Thomas Williams
Joseph Palmer,Josiah Bradlee
Benjamin Kent,Mr Chadwell
Henry Broomfield,William Powell
John Brown,John Pitts
Samuel Pitts,William Powell
Ambrose Ferrell,John Jenkins
Samuel Gore,Samuel Peck
John Lambert,Royall Tyler
Henry Purkitt,John Spurr
John Avery,Stephen Cleverly
John Jenkins,William McAlpine
Jonathan Hunnewell,Joseph Payson
Phillip Lewis,William Palfrey
John Peters,Paul Revere
Eben Johnston,Henry Bass
John Sigourney,Samuel Emmes
Caleb Davis,Robert Pierpont
Joseph Payson,Thomas Chase
John Hooton,Thomas Young
Benjamin Kent,Henry Bass
Edward Jarvis,William Ham
John Ballard,Thomas Chrysty
Thomas Tileston,William Dennie
John Winthrop,Samuel Pitts
Capt Cazneau,William Hoskins
Increase Blake,Samuel Peck
Edward Howe,Nathaniel Bradlee
Lendall Pitts,Samuel Barnard
John Matchett,Nathaniel Appleton
David Kinnison,Joseph Mountford
Sam Partridge,Samuel Whitwell
Joshua Wyeth,Phineas Stearns
Jonathan Stoddard,Samuel White
Samuel Foster,Eckley
David Kinnison,Joseph Shed
John Avery,Samuel Whitwell
Lendall Pitts,Thomas Young
Benjamin Simpson,John Peters
James Foster Condy,Samuel Whitwell
Joseph Webb,Samuel Barrett
Abiel Ruddock,John Pulling
Edward Davis,Nat Noyces
Nathaniel Barber,Nathaniel Holmes
Phineas Stearns,Thomas Spear
John Bradford,Joseph Eayres
Edward Dolbear,Nathaniel Greene
Caleb Hopkins,Samuel Barrett
Edward Dolbear,Thomas Williams
Joseph Eayres,Nathaniel Barber
James Foster Condy,Sam Partridge
Israel Obear,Jefferds
James Graham,Phillip Lewis
John Merrit,Thomas Kimball
Joseph Eayres,Peter Slater
David Bradlee,Samuel Howard
John Boit,William Dennie
Amos Lincoln,Samuel Foster
Dr Allen,Joseph Greenleaf
Jonathan Parker,Thomas Young
Edward Dolbear,Gilbert Colesworthy
