source,target
Phil Coulson,Sif
Heimdall,Wanda Maximoff
Brock Rumlow,Georges Batroc
Dale,Steve Rogers
Cameron Klein,Laura Barton
Ivan Vanko,Phil Coulson
Gideon Malick,The Other
Richard,Thor
Maria Stark,Scott Lang
Hawley,Phil Coulson
Maria Hill,Pepper Potts
Dave,Janet Van Dyne
Bruce Banner,Sam Wilson
Fandral,Hogun
Hogun,Tyr
Gideon Malick,Natasha Romanov
Odin,Thor
Happy Hogan,J.A.R.V.I.S.
Clint Barton,Tony Stark
Frigga,Hogun
Bor,Loki
Steve Rogers,The Collector
Thanos,The Collector
Brock Rumlow,Wolfgang von Strucker
Laufey,Thor
Hawley,Wolfgang von Strucker
Ellen Brandt,Matthew Ellis
Helmut Zemo,T'Chaka
Nova Prime,Peter Quill
Howard Stark,Jim Morita
Groot,Thanos
Gideon Malick,Phil Coulson
Eir,Ian Boothby
Eric Savin,Wu
Abraham Erskine,Dum Dum Dugan
Bruce Banner,Natasha Romanov
Heimdall,Tyr
Laura Barton,Natasha Romanov
Darren Cross,Hope Van Dyne
Natasha Romanov,Pepper Potts
Bucky Barnes,Maria Hill
Jane Foster,Jasper Sitwell
Helen Cho,Ulysses Klaue
Carina,Sif
Cameron Klein,Georges Batroc
Georges Batroc,Jack Rollins
James Rhodes,Thunderbolt Ross
Gamora,Meredith Quill
Hogun,Phil Coulson
Ivan Vanko,Nick Fury
Carina,Tyr
Bruce Banner,Georgi Luchkov
Jane Foster,Malekith
Mitchell Carson,Peggy Carter
Bucky Barnes,Heinz Kruger
Fandral,Sif
Dum Dum Dugan,Nick Fury
Jack Taggart,Maya Hansen
Pepper Potts,Trevor Slattery
James Rhodes,Ulysses Klaue
Ivan Vanko,James Rhodes
Bor,Heimdall
Eir,Frigga
Peggy Carter,Tony Stark
Steve Rogers,Vision
Maya Hansen,Rodriguez
Maria Hill,Steve Rogers
Abraham Erskine,Gilmore Hodge
Ho Yinsen,Raza
Bereet,Groot
Clint Barton,Pietro Maximoff
Ulysses Klaue,Vision
James Rhodes,T'Chaka
Nebula,Rocket
Clint Barton,Steve Rogers
Gamora,Thanos
Nick Fury,Pepper Potts
Justin Hammer,Stern
Arnim Zola,Pietro Maximoff
Maria Hill,Phil Coulson
Brock Rumlow,Everett K. Ross
Rodriguez,Wu
Korath,Nova Prime
Bucky Barnes,May Parker
Justin Hammer,Phil Coulson
Bor,The Collector
The Collector,Tyr
The Collector,Yondu Udonta
Carina,Garthan Saal
Bruce Banner,Rodriguez
Carina,Peter Quill
Jasper Sitwell,Nick Fury
Gamora,Korath
Heimdall,Maria Hill
Peter Quill,The Other
Abraham Erskine,Howard Stark
Bruce Banner,Ulysses Klaue
Chess Roberts,J.A.R.V.I.S.
Nick Fury,Stern
Carina,Odin
Howard Stark,Jacques Dernier
Everett K. Ross,Natasha Romanov
Harley Keener,Tony Stark
Helmut Zemo,Sam Wilson
Bruce Banner,Phil Coulson
Jack Rollins,Maria Hill
Everett K. Ross,Vision
Clint Barton,Peggy Carter
Arnim Zola,Sharon Carter
Clint Barton,Hawley
Clint Barton,Jasper Sitwell
Chess Roberts,Phil Coulson
Alexander Pierce,Stern
List,Vision
Ian Boothby,Volstagg
Hope Van Dyne,Maggie
Bucky Barnes,Howard Stark
James Rhodes,Natasha Romanov
Brock Rumlow,Vision
Arnim Zola,Dum Dum Dugan
Jasper Sitwell,Peggy Carter
F.R.I.D.A.Y.,Pietro Maximoff
Emil Blonsky,Samuel Sterns
Miriam Sharpe,T'Challa
Phil Coulson,Tony Stark
Clint Barton,The Other
Eric Savin,Jack Taggart
Ellen Brandt,Tony Stark
F.R.I.D.A.Y.,Miriam Sharpe
Brock Rumlow,T'Chaka
Bruce Banner,Ellen Brandt
Maria Hill,The Other
Drax the Destroyer,Kraglin
Paxton,Scott Lang
Nick Fury,Obadiah Stane
Vision,Wanda Maximoff
Heimdall,Peggy Carter
Ellen Brandt,James Rhodes
Fandral,Loki
The Other,Tony Stark
Bereet,Drax the Destroyer
May Parker,Steve Rogers
Kurse,Loki
Sam Wilson,Thunderbolt Ross
Dale,Maggie
Groot,The Other
Jane Foster,Sif
Chess Roberts,Natasha Romanov
Gale,Hope Van Dyne
Fandral,Jane Foster
Sharon Carter,Stern
Bruce Banner,Heimdall
Maria Hill,Stern
Sam Wilson,Steve Rogers
Aldrich Killian,J.A.R.V.I.S.
Thor,Vision
Drax the Destroyer,Nebula
Arnim Zola,Brock Rumlow
Carina,Fandral
Bucky Barnes,Nick Fury
Gamora,Peter Quill
Happy Hogan,Maya Hansen
List,Wanda Maximoff
Christine Everhart,Tony Stark
Jane Foster,Thor
Clint Barton,Nick Fury
Jacques Dernier,Peggy Carter
Erik Selvig,James Rhodes
Loki,Tony Stark
James Rhodes,Pepper Potts
May Parker,Scott Lang
Erik Selvig,Loki
Bucky Barnes,Janet Van Dyne
Hank Pym,Sam Wilson
Bor,Darcy Lewis
Georgi Luchkov,Nick Fury
Peggy Carter,Scott Lang
Chess Roberts,Ivan Vanko
Hawley,The Other
Heimdall,Phil Coulson
Cameron Klein,Thanos
Helen Cho,Peggy Carter
Cameron Klein,Tony Stark
Natasha Romanov,Wanda Maximoff
Natasha Romanov,Peter Parker
Nick Fury,Pietro Maximoff
Phil Coulson,Stern
Bereet,Carina
Groot,Rocket
Frigga,Thor
Ian Boothby,The Collector
Eir,Kurse
Hogun,Steve Rogers
Hogun,Jasper Sitwell
Howard the Duck,Nebula
Sam Wilson,Vision
Mitchell Carson,Sam Wilson
Darcy Lewis,Ian Boothby
Ulysses Klaue,Wanda Maximoff
Sif,Steve Rogers
Laura Barton,Pietro Maximoff
Brock Rumlow,Cameron Klein
Carina,Korath
Darren Cross,Steve Rogers
Erik Selvig,Maria Hill
Kurt,Peggy Carter
Cassie Lang,Maggie
Natasha Romanov,Ultron
Eric Savin,Happy Hogan
Hope Van Dyne,Sam Wilson
F.R.I.D.A.Y.,Natasha Romanov
James Rhodes,Wolfgang von Strucker
Malekith,Odin
Pepper Potts,Raza
Hope Van Dyne,Luis
Carina,Rocket
Bucky Barnes,James Montgomery Falsworth
Alexander Pierce,Arnim Zola
List,Sam Wilson
Christine Everhart,Phil Coulson
Bruce Banner,Loki
Brock Rumlow,Sam Wilson
Jasper Sitwell,Natasha Romanov
Carina,Thor
Natasha Romanov,The Other
Bucky Barnes,F.R.I.D.A.Y.
Bruce Banner,Eric Savin
Groot,Korath
Korath,Ronan the Accuser
Leonard Samson,Samuel Sterns
Thor,Ulysses Klaue
Clint Barton,Jane Foster
Carina,Gamora
Bucky Barnes,Darren Cross
Arnim Zola,Nick Fury
Clint Barton,Scott Lang
Harley Keener,Pepper Potts
Brock Rumlow,Bucky Barnes
Bucky Barnes,Peter Parker
Happy Hogan,Matthew Ellis
Hogun,Sif
Heimdall,Jasper Sitwell
Bucky Barnes,Dale
Georges Batroc,Peggy Carter
Anton Vanko,Stern
Nick Fury,Ultron
Drax the Destroyer,Garthan Saal
Matthew Ellis,Tony Stark
Sharon Carter,Steve Rogers
Dum Dum Dugan,Howard Stark
Laura Barton,Ultron
Jane Foster,Volstagg
Brock Rumlow,F.R.I.D.A.Y.
Heimdall,Kurse
Nick Fury,Phil Coulson
Hope Van Dyne,Kurt
Bruce Banner,Gideon Malick
Nick Fury,Sam Wilson
Arnim Zola,Stern
Gabe Jones,Nick Fury
Erik Selvig,Sam Wilson
Gilmore Hodge,Steve Rogers
Bucky Barnes,Natasha Romanov
Happy Hogan,Justin Hammer
Ronan the Accuser,The Collector
Arnim Zola,Sam Wilson
Cameron Klein,Pietro Maximoff
Ellen Brandt,Eric Savin
Brock Rumlow,Clint Barton
Brock Rumlow,Helmut Zemo
Garthan Saal,Peter Quill
Hogun,Thor
Aldrich Killian,Rodriguez
James Rhodes,Phil Coulson
Nick Fury,Sharon Carter
Bruce Banner,Matthew Ellis
Gilmore Hodge,Nick Fury
Stern,Steve Rogers
Gabe Jones,Jacques Dernier
Thor,Wolfgang von Strucker
Alexander Pierce,Jasper Sitwell
Garthan Saal,Yondu Udonta
Fandral,Ian Boothby
Maria Hill,Vision
Loki,Maria Hill
Drax the Destroyer,Ronan the Accuser
Clint Barton,Everett K. Ross
Gale,Hank Pym
Odin,Richard
Sif,The Collector
Harley Keener,Jack Taggart
Aldrich Killian,Harley Keener
Steve Rogers,Thor
Frigga,Heimdall
Erik Selvig,Phil Coulson
Eric Savin,Harley Keener
List,Pietro Maximoff
Bucky Barnes,Sam Wilson
Everett K. Ross,Steve Rogers
Obadiah Stane,Phil Coulson
James Rhodes,May Parker
Alexander Pierce,List
Howard the Duck,Korath
Hope Van Dyne,Mitchell Carson
Darren Cross,Paxton
Erik Selvig,Richard
Bruce Banner,Wanda Maximoff
Erik Selvig,Jane Foster
Dave,Hank Pym
May Parker,Natasha Romanov
Jasper Sitwell,List
List,Natasha Romanov
Maria Stark,May Parker
Maria Hill,Peggy Carter
T'Chaka,Thunderbolt Ross
Arnim Zola,Steve Rogers
Helmut Zemo,Tony Stark
James Rhodes,Sharon Carter
Heinz Kruger,Red Skull
Dum Dum Dugan,Jim Morita
Ho Yinsen,Jack Taggart
Chester Phillips,Dum Dum Dugan
F.R.I.D.A.Y.,Thor
Erik Selvig,Tyr
Gale,Peggy Carter
List,Maria Hill
Everett K. Ross,T'Chaka
Thor,Volstagg
Pietro Maximoff,Ultron
Meredith Quill,Rhomann Dey
Dave,Howard Stark
Gale,Maggie
Hank Pym,Scott Lang
Darren Cross,Howard Stark
Ho Yinsen,Trevor Slattery
Bucky Barnes,Kurt
Bruce Banner,Tony Stark
Gideon Malick,Hawley
Helen Cho,Natasha Romanov
Gideon Malick,Steve Rogers
Brandt,James Montgomery Falsworth
Thor,Tony Stark
Sharon Carter,Wolfgang von Strucker
Laura Barton,List
Bucky Barnes,Peggy Carter
Carina,Kurse
Ho Yinsen,Maya Hansen
Arnim Zola,Jim Morita
Natasha Romanov,Steve Rogers
Bucky Barnes,Dum Dum Dugan
Hogun,Laufey
Erik Selvig,Wolfgang von Strucker
Miriam Sharpe,Natasha Romanov
Laura Barton,Tony Stark
Darren Cross,Maggie
Hawley,Stern
Obadiah Stane,Raza
Erik Selvig,Fandral
Groot,Nova Prime
Maria Stark,Wanda Maximoff
Erik Selvig,Frigga
Clint Barton,Loki
Jim Morita,Nick Fury
Darren Cross,Hank Pym
Gamora,Rocket
Harley Keener,Trevor Slattery
Luis,Scott Lang
Abraham Erskine,Peggy Carter
Nova Prime,Rhomann Dey
Maria Stark,T'Challa
Natasha Romanov,Phil Coulson
Hank Pym,Kurt
Brandt,Red Skull
Laufey,Volstagg
Christine Everhart,Howard Stark
Justin Hammer,Tony Stark
James Rhodes,Maya Hansen
Bucky Barnes,Chester Phillips
Garthan Saal,The Collector
Happy Hogan,Jack Taggart
James Montgomery Falsworth,Red Skull
Jane Foster,Odin
Emil Blonsky,Thunderbolt Ross
Phil Coulson,Volstagg
Ian Boothby,Richard
Alexander Pierce,Jack Rollins
Janet Van Dyne,Sam Wilson
Garthan Saal,Meredith Quill
Alexander Pierce,Nick Fury
Hawley,Loki
Bruce Banner,Ho Yinsen
Janet Van Dyne,Steve Rogers
Hogun,Volstagg
Arnim Zola,Brandt
Dave,Maggie
Heinz Kruger,Nick Fury
F.R.I.D.A.Y.,Ulysses Klaue
Cameron Klein,Wolfgang von Strucker
Rhomann Dey,The Collector
List,Ultron
F.R.I.D.A.Y.,James Rhodes
Everett K. Ross,Tony Stark
Eir,Steve Rogers
Bruce Banner,Vision
Maria Hill,Sam Wilson
Loki,The Other
Darcy Lewis,Malekith
Odin,Steve Rogers
Eir,Malekith
Gamora,Yondu Udonta
Gale,Janet Van Dyne
F.R.I.D.A.Y.,Helen Cho
Wanda Maximoff,Wolfgang von Strucker
Aldrich Killian,Pepper Potts
Nick Fury,Odin
Bor,Richard
Bor,Sif
Meredith Quill,Rocket
Dum Dum Dugan,Gabe Jones
Happy Hogan,Tony Stark
Christine Everhart,Ivan Vanko
Jasper Sitwell,Phil Coulson
Maria Stark,Steve Rogers
Bucky Barnes,Wanda Maximoff
Phil Coulson,Thanos
Cameron Klein,Vision
Sam Wilson,Wanda Maximoff
Brock Rumlow,Scott Lang
James Rhodes,Thor
Janet Van Dyne,Peggy Carter
Janet Van Dyne,Maggie
Dale,Sam Wilson
Erik Selvig,Natasha Romanov
Everett K. Ross,T'Challa
Bor,Thor
T'Chaka,Wanda Maximoff
Thanos,Vision
Bucky Barnes,T'Challa
Helmut Zemo,Miriam Sharpe
Alexander Pierce,Hawley
Alexander Pierce,Sharon Carter
Ian Boothby,Jane Foster
Arnim Zola,Howard Stark
Groot,The Collector
J.A.R.V.I.S.,Jack Taggart
Kraglin,Thanos
Erik Selvig,Steve Rogers
Maria Stark,Sam Wilson
Bor,Malekith
Bucky Barnes,Everett K. Ross
Heinz Kruger,Jacques Dernier
Dum Dum Dugan,Heinz Kruger
Erik Selvig,Volstagg
Natasha Romanov,Scott Lang
Nova Prime,The Collector
Natasha Romanov,T'Chaka
Happy Hogan,Nick Fury
J.A.R.V.I.S.,Raza
Clint Barton,Heimdall
Ronan the Accuser,The Other
James Montgomery Falsworth,Peggy Carter
Clint Barton,Laufey
Ellen Brandt,Maya Hansen
Erik Selvig,Ulysses Klaue
Helmut Zemo,Vision
Alexander Pierce,Cameron Klein
Heimdall,Natasha Romanov
Loki,Volstagg
Peter Quill,Thanos
Rhomann Dey,Yondu Udonta
Eir,Richard
James Rhodes,Pietro Maximoff
Laura Barton,Peggy Carter
Eric Savin,Trevor Slattery
F.R.I.D.A.Y.,Vision
May Parker,Wanda Maximoff
F.R.I.D.A.Y.,Ultron
Fandral,Steve Rogers
Erik Selvig,Hogun
Gilmore Hodge,James Montgomery Falsworth
Hawley,Tony Stark
J.A.R.V.I.S.,Tony Stark
Cameron Klein,Heimdall
Rocket,The Other
Bruce Banner,Helen Cho
Darcy Lewis,Volstagg
T'Chaka,T'Challa
Gideon Malick,Thor
Howard Stark,Steve Rogers
Carina,Volstagg
F.R.I.D.A.Y.,Peter Parker
Ian Boothby,Kurse
Happy Hogan,Stern
May Parker,T'Chaka
Clint Barton,Helen Cho
Scott Lang,T'Chaka
Peter Parker,T'Chaka
Dave,Peggy Carter
Gilmore Hodge,Peggy Carter
Cassie Lang,Hope Van Dyne
Dale,Hank Pym
Erik Selvig,Pepper Potts
Maggie,Sam Wilson
Christine Everhart,Raza
The Collector,Thor
Howard Stark,Scott Lang
Frigga,Phil Coulson
Arnim Zola,Gabe Jones
T'Challa,Wanda Maximoff
Steve Rogers,Wolfgang von Strucker
Ultron,Vision
J.A.R.V.I.S.,The Other
Thunderbolt Ross,Tony Stark
Thanos,Tony Stark
Groot,Meredith Quill
Natasha Romanov,Thor
Steve Rogers,Thunderbolt Ross
May Parker,Tony Stark
Helen Cho,James Rhodes
May Parker,Thunderbolt Ross
Ho Yinsen,James Rhodes
Chess Roberts,James Rhodes
Hank Pym,Howard Stark
Jane Foster,The Collector
Jasper Sitwell,Odin
The Collector,Volstagg
Ho Yinsen,Obadiah Stane
Betty Ross,Thunderbolt Ross
Happy Hogan,Trevor Slattery
May Parker,Sharon Carter
Steve Rogers,Volstagg
Ian Boothby,Loki
Erik Selvig,Nick Fury
Gabe Jones,Steve Rogers
Clint Barton,Darcy Lewis
F.R.I.D.A.Y.,Helmut Zemo
Bruce Banner,Emil Blonsky
Bruce Banner,Hawley
Bucky Barnes,Jacques Dernier
Chess Roberts,Happy Hogan
Howard the Duck,Yondu Udonta
Hank Pym,Mitchell Carson
Erik Selvig,Odin
Heimdall,Steve Rogers
Brock Rumlow,Natasha Romanov
Brock Rumlow,Miriam Sharpe
Miriam Sharpe,Steve Rogers
Jack Taggart,James Rhodes
Loki,Natasha Romanov
Happy Hogan,Howard Stark
J.A.R.V.I.S.,Pepper Potts
Darcy Lewis,Hogun
J.A.R.V.I.S.,Rodriguez
Odin,Tyr
Brock Rumlow,Maria Stark
Ultron,Ulysses Klaue
Cassie Lang,Gale
Erik Selvig,Hawley
Darren Cross,Mitchell Carson
James Montgomery Falsworth,Steve Rogers
Heimdall,Tony Stark
Matthew Ellis,Pepper Potts
Hawley,Jasper Sitwell
Brock Rumlow,Hawley
Jack Taggart,Tony Stark
Meredith Quill,The Collector
Arnim Zola,Jacques Dernier
J.A.R.V.I.S.,Phil Coulson
Bereet,Rocket
Kurt,Mitchell Carson
Dale,Peggy Carter
Dave,Paxton
Steve Rogers,Wanda Maximoff
Clint Barton,List
Hawley,Natasha Romanov
Anton Vanko,Phil Coulson
Bereet,Korath
Carina,Howard the Duck
James Rhodes,Justin Hammer
Brock Rumlow,Peggy Carter
Miriam Sharpe,Vision
Bruce Banner,Steve Rogers
Erik Selvig,Tony Stark
Bruce Banner,Erik Selvig
Cameron Klein,Stern
Clint Barton,Sharon Carter
Sam Wilson,Ulysses Klaue
Jack Rollins,Peggy Carter
Dave,Hope Van Dyne
Jack Rollins,Natasha Romanov
Eir,The Collector
Nebula,Rhomann Dey
Kurse,Tyr
Bucky Barnes,Steve Rogers
Howard Stark,Tony Stark
Ho Yinsen,J.A.R.V.I.S.
Ho Yinsen,Rodriguez
Eir,Volstagg
Eir,Jane Foster
Bruce Banner,Thor
J.A.R.V.I.S.,Maria Hill
Hope Van Dyne,Janet Van Dyne
Nick Fury,Volstagg
Jane Foster,Laufey
Carina,Malekith
Clint Barton,Maria Hill
Abraham Erskine,Gabe Jones
Gale,Luis
Ultron,Wolfgang von Strucker
Bucky Barnes,Gabe Jones
Carina,The Other
Bereet,Howard the Duck
Everett K. Ross,Sam Wilson
Darcy Lewis,The Collector
Georgi Luchkov,Thor
James Rhodes,Wu
Fandral,Richard
Cassie Lang,Scott Lang
Nick Fury,Thanos
Happy Hogan,Phil Coulson
Kurse,Steve Rogers
Bucky Barnes,Miriam Sharpe
Happy Hogan,Rodriguez
Ivan Vanko,Stern
Carina,Meredith Quill
Obadiah Stane,Tony Stark
Pepper Potts,Rodriguez
Arnim Zola,Georges Batroc
Christine Everhart,Nick Fury
F.R.I.D.A.Y.,Laura Barton
Kurse,The Collector
Hawley,List
Justin Hammer,Natasha Romanov
Dale,Luis
Aldrich Killian,Wu
Alexander Pierce,Brock Rumlow
Dale,Howard Stark
Helen Cho,Ultron
Chester Phillips,Jacques Dernier
Chess Roberts,Christine Everhart
Helmut Zemo,Steve Rogers
Carina,Darcy Lewis
Bruce Banner,Samuel Sterns
Nick Fury,Tony Stark
Clint Barton,Volstagg
Maria Hill,Ultron
Scott Lang,Thunderbolt Ross
Groot,Kraglin
Peter Parker,Thunderbolt Ross
Ultron,Wanda Maximoff
Bruce Banner,Happy Hogan
Peter Quill,Ronan the Accuser
Everett K. Ross,F.R.I.D.A.Y.
Eric Savin,Pepper Potts
Nick Fury,Raza
Howard the Duck,Peter Quill
Loki,Thanos
Georges Batroc,Hawley
Kraglin,Ronan the Accuser
Aldrich Killian,Ho Yinsen
Everett K. Ross,Helmut Zemo
Georges Batroc,List
Peggy Carter,Vision
Sharon Carter,T'Challa
Brock Rumlow,Stern
Gamora,The Other
Hogun,Odin
Helen Cho,Wolfgang von Strucker
Arnim Zola,Wolfgang von Strucker
Meredith Quill,Nebula
Bereet,Meredith Quill
Groot,Yondu Udonta
James Rhodes,Trevor Slattery
T'Challa,Tony Stark
Bucky Barnes,Hope Van Dyne
Tony Stark,Wolfgang von Strucker
Korath,Rocket
Clint Barton,Georgi Luchkov
Natasha Romanov,Ulysses Klaue
Harley Keener,J.A.R.V.I.S.
Anton Vanko,Natasha Romanov
Peter Quill,Rocket
Peggy Carter,Steve Rogers
Richard,Sif
Hank Pym,Paxton
F.R.I.D.A.Y.,Scott Lang
Tony Stark,Ultron
Brock Rumlow,T'Challa
Frigga,Jane Foster
Erik Selvig,Heimdall
Miriam Sharpe,Peter Parker
Carina,Thanos
Luis,Peggy Carter
Bruce Banner,Thunderbolt Ross
Nebula,The Other
Erik Selvig,Ultron
Helmut Zemo,Peter Parker
Carina,Yondu Udonta
Peter Parker,Tony Stark
Scott Lang,Tony Stark
Frigga,Tyr
Alexander Pierce,Peggy Carter
Kurse,Volstagg
Bereet,The Collector
Clint Barton,Hogun
Thanos,Thor
Bor,Odin
Heimdall,Malekith
Bruce Banner,James Rhodes
James Rhodes,Scott Lang
J.A.R.V.I.S.,Wu
J.A.R.V.I.S.,Justin Hammer
Brock Rumlow,James Rhodes
Pietro Maximoff,Steve Rogers
Alexander Pierce,Wanda Maximoff
Brock Rumlow,May Parker
Jack Rollins,Sam Wilson
Stern,Tony Stark
Jim Morita,Red Skull
Clint Barton,Wolfgang von Strucker
Helen Cho,Laura Barton
Maggie,Peggy Carter
Howard the Duck,Nova Prime
Korath,Thanos
Cassie Lang,Kurt
Sam Wilson,T'Challa
Helmut Zemo,James Rhodes
Happy Hogan,Pepper Potts
F.R.I.D.A.Y.,May Parker
Heimdall,Richard
Tyr,Volstagg
Gideon Malick,Jasper Sitwell
Miriam Sharpe,Scott Lang
Ho Yinsen,Pepper Potts
Kurt,Luis
Carina,Erik Selvig
Jane Foster,Nick Fury
Peggy Carter,Wanda Maximoff
Bucky Barnes,Hank Pym
Alexander Pierce,Wolfgang von Strucker
Clint Barton,Erik Selvig
Bor,Erik Selvig
Bor,Ian Boothby
Brandt,Howard Stark
Hank Pym,Hope Van Dyne
Maggie,Steve Rogers
Maya Hansen,Tony Stark
Carina,Frigga
Meredith Quill,Yondu Udonta
Meredith Quill,Nova Prime
Bucky Barnes,Jim Morita
Maria Hill,Wolfgang von Strucker
Bruce Banner,Thanos
Clint Barton,Natasha Romanov
Brock Rumlow,Peter Parker
Bruce Banner,The Other
Chester Phillips,Gilmore Hodge
Garthan Saal,Nebula
Eir,Sif
Nova Prime,Thanos
Everett K. Ross,Sharon Carter
Bucky Barnes,Dave
Steve Rogers,Thanos
Arnim Zola,Gilmore Hodge
Rocket,The Collector
Matthew Ellis,Wu
Laufey,Loki
Rhomann Dey,Thanos
Georgi Luchkov,Jasper Sitwell
Maggie,Mitchell Carson
Natasha Romanov,T'Challa
Howard Stark,J.A.R.V.I.S.
Jack Taggart,Pepper Potts
Anton Vanko,James Rhodes
Howard Stark,Ivan Vanko
Erik Selvig,Thor
Harley Keener,James Rhodes
Betty Ross,Leonard Samson
Jim Morita,Peggy Carter
Maria Stark,Tony Stark
